OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species,LancangBesar,Pari,Tidung,KarangBeras,Pramuka,Kotok,Sepa,Total
ASV7911,Bacteria,Latescibacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,0,3,0,55,726,16,24,824
ASV5122,Bacteria,Planctomycetes,Pla4 lineage,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,36,121,168,116,88,185,108,822
ASV8849,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Unavailable,Unavailable,Unavailable,63,76,207,137,117,160,61,821
ASV1574,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,uncultured candidate division SBR1093 bacterium,uncultured candidate division SBR1093 bacterium,uncultured candidate division SBR1093 bacterium,21,42,1,352,203,24,177,820
ASV7258,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4 lineage,uncultured organism,47,62,208,138,310,31,23,819
ASV9915,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured,uncultured bacterium,50,78,39,185,109,94,261,816
ASV962,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,uncultured,Unavailable,30,48,205,98,223,174,36,814
ASV2099,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,48,41,148,66,125,87,293,808
ASV2649,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,uncultured bacterium,14,130,208,72,87,76,220,807
ASV8034,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,Unavailable,72,98,154,121,135,140,82,802
ASV10491,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,uncultured delta proteobacterium,uncultured delta proteobacterium,11,64,32,152,304,36,202,801
ASV9396,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,uncultured deep-sea bacterium,uncultured deep-sea bacterium,uncultured deep-sea bacterium,25,83,40,82,100,219,251,800
ASV3431,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,96,112,150,174,120,59,85,796
ASV6031,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,Unavailable,0,767,8,0,10,3,3,791
ASV2111,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,uncultured bacterium,uncultured bacterium,21,42,32,25,11,116,537,784
ASV15477,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,uncultured delta proteobacterium,147,463,0,34,5,2,130,781
ASV12771,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula,uncultured bacterium,108,0,15,3,0,646,8,780
ASV1010,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Eel-36e1D6,Unavailable,Unavailable,9,86,105,108,107,184,178,777
ASV1260,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307,uncultured bacterium,100,22,120,78,123,250,84,777
ASV2291,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,Unavailable,47,82,127,117,138,117,148,776
ASV9802,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,Unavailable,0,47,681,19,20,0,8,775
ASV4022,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,Unavailable,42,76,141,159,84,133,137,772
ASV12159,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Cyanobacteriaceae,uncultured,uncultured bacterium,8,55,597,32,0,20,59,771
ASV11534,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium,0,0,0,769,1,0,0,770
ASV12070,Bacteria,Proteobacteria,Deltaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,34,81,0,294,194,90,71,764
ASV6033,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,AqS1,Unavailable,10,105,134,41,126,178,167,761
ASV8570,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,type III,uncultured Entomoplasmatales bacterium,uncultured Entomoplasmatales bacterium,32,49,205,87,138,139,107,757
ASV3287,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,uncultured bacterium,0,58,0,324,233,87,54,756
ASV1532,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Unavailable,Unavailable,86,85,134,121,105,137,87,755
ASV5375,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Rubidimonas,uncultured bacterium,33,31,63,428,35,81,81,752
ASV1722,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula,Unavailable,12,106,160,112,87,143,131,751
ASV4470,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,Unavailable,93,91,67,132,186,129,52,750
ASV12361,Bacteria,Planctomycetes,OM190,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,63,61,102,216,123,25,160,750
ASV963,Bacteria,Cyanobacteria,Oxyphotobacteria,Unavailable,Unavailable,Unavailable,Unavailable,70,55,118,137,127,101,139,747
ASV19379,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Unavailable,Unavailable,Unavailable,0,0,0,65,679,0,0,744
ASV22556,Bacteria,Dependentiae,Babeliae,Babeliales,Unavailable,Unavailable,Unavailable,9,71,187,76,63,161,173,740
ASV12888,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium,0,0,19,0,0,716,0,735
ASV5157,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,uncultured,uncultured bacterium,60,28,145,161,100,138,100,732
ASV294,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,uncultured bacterium,2,32,200,129,132,153,83,731
ASV3408,Bacteria,Proteobacteria,Alphaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,15,36,161,160,188,73,97,730
ASV12976,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,51,58,197,127,107,110,80,730
ASV22308,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured organism,uncultured organism,16,124,80,82,27,271,130,730
ASV392,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,uncultured,uncultured Gram-positive bacterium,uncultured Gram-positive bacterium,6,0,18,0,16,379,310,729
ASV9406,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured bacterium,uncultured bacterium,10,65,130,119,100,123,180,727
ASV6246,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Saccharicrinis,Unavailable,46,74,149,99,141,106,106,721
ASV1859,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,uncultured alpha proteobacterium,19,88,34,86,434,19,39,719
ASV1193,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Pseudovibrio,Unavailable,19,111,205,68,142,76,97,718
ASV10272,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Unavailable,Unavailable,26,42,187,123,122,74,143,717
ASV6612,Bacteria,Omnitrophicaeota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus,Unavailable,29,85,151,81,137,160,73,716
ASV20782,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured,uncultured organism,15,562,66,0,0,39,34,716
ASV3383,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Paramoritella,Unavailable,20,43,195,114,78,86,178,714
ASV1241,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Cyanobacteriaceae,uncultured bacterium,uncultured bacterium,115,0,0,249,312,0,37,713
ASV6959,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Unavailable,Unavailable,Unavailable,21,78,144,87,70,175,137,712
ASV17816,Bacteria,Margulisbacteria,metagenome,metagenome,metagenome,metagenome,metagenome,0,102,159,1,46,70,334,712
ASV1161,Bacteria,Gemmatimonadetes,BD2-11 terrestrial group,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,59,28,197,124,55,149,92,704
ASV1349,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,Unavailable,17,54,39,64,121,108,301,704
ASV14904,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,uncultured,uncultured bacterium,uncultured bacterium,84,99,83,134,137,97,70,704
ASV3423,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,uncultured organism,7,221,0,263,55,5,149,700
ASV1444,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 23,uncultured Acidobacteria bacterium,67,38,134,235,65,78,82,699
ASV10069,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,uncultured bacterium,uncultured bacterium,60,46,123,139,119,72,140,699
ASV15635,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,93,61,154,111,109,99,70,697
ASV4988,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,uncultured,uncultured marine microorganism,80,69,131,69,158,117,72,696
ASV8597,Bacteria,Bacteroidetes,Bacteroidia,Unavailable,Unavailable,Unavailable,Unavailable,61,64,161,94,135,108,73,696
ASV3470,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Vallitalea,uncultured bacterium,28,107,159,164,83,94,60,695
ASV258,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured,uncultured gamma proteobacterium,46,81,87,142,137,152,47,692
ASV1432,Bacteria,Proteobacteria,Alphaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,112,78,67,157,146,65,67,692
ASV4844,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Parvularcula,uncultured organism,0,2,86,0,0,604,0,692
ASV12535,Bacteria,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae,Defluviitaleaceae UCG-011,uncultured bacterium,61,98,143,113,87,84,106,692
ASV1188,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,EC94,uncultured bacterium,uncultured bacterium,36,59,171,66,57,94,208,691
ASV15535,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,Unavailable,Unavailable,62,14,89,87,277,114,47,690
ASV4806,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,uncultured bacterium,36,127,123,86,96,90,129,687
ASV1196,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,Fuerstia,uncultured Planctomyces sp.,21,13,197,50,97,150,157,685
ASV8221,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,1,21,160,48,72,111,270,683
ASV10135,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,uncultured bacterium,52,41,138,94,183,81,94,683
ASV4918,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,uncultured actinobacterium,51,86,118,161,93,103,70,682
ASV5196,Bacteria,Zixibacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,19,81,173,68,42,88,211,682
ASV7860,Bacteria,Cyanobacteria,Oxyphotobacteria,Thermosynechococcales,Acaryochloridaceae,Acaryochloris MBIC11017,Unavailable,0,0,180,63,28,253,157,681
ASV3361,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,uncultured delta proteobacterium,uncultured delta proteobacterium,uncultured delta proteobacterium,21,19,135,52,90,41,322,680
ASV3190,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Unavailable,43,52,419,102,19,0,43,678
ASV1752,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,Unavailable,Unavailable,Unavailable,50,94,113,96,103,107,114,677
ASV4912,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales vadinBB60 group,uncultured bacterium,uncultured bacterium,75,81,131,99,105,72,114,677
ASV23186,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,Unavailable,33,52,191,102,129,101,65,673
ASV5430,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Zeaxanthinibacter,Unavailable,50,85,51,230,51,114,90,671
ASV937,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Cerasicoccus,Unavailable,25,33,185,106,84,92,145,670
ASV1883,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus Alysiosphaera,Unavailable,63,61,115,64,147,88,132,670
ASV815,Bacteria,Latescibacteria,unidentified bacterium wb1_H11,unidentified bacterium wb1_H11,unidentified bacterium wb1_H11,unidentified bacterium wb1_H11,unidentified bacterium wb1_H11,26,14,159,143,142,83,102,669
ASV11277,Bacteria,Patescibacteria,Gracilibacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,15,0,138,0,1,52,460,666
ASV5613,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured Chloroflexus sp.,uncultured Chloroflexus sp.,35,87,89,93,164,89,107,664
ASV7493,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,Unavailable,Unavailable,Unavailable,40,48,131,114,120,127,84,664
ASV3695,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,Unavailable,13,53,39,63,62,201,231,662
ASV3263,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Unavailable,Unavailable,Unavailable,0,0,128,0,530,0,0,658
ASV4088,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,27,88,116,114,61,124,128,658
ASV6362,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Unavailable,Unavailable,57,89,99,140,107,43,120,655
ASV7486,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,0,0,0,0,0,655,0,655
ASV4014,Bacteria,Proteobacteria,Alphaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,10,31,452,0,4,157,0,654
ASV6479,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Unavailable,Unavailable,35,130,41,28,97,279,42,652
ASV10018,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,uncultured bacterium,70,64,74,108,175,56,105,652
ASV2062,Bacteria,Planctomycetes,OM190,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,42,67,92,53,109,68,220,651
ASV5598,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Unavailable,Unavailable,73,56,117,71,127,61,143,648
ASV5167,Bacteria,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,57,123,110,76,82,87,112,647
ASV3174,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,PS1 clade,uncultured bacterium,uncultured bacterium,20,60,160,97,60,90,159,646
ASV10043,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,uncultured bacterium,0,0,0,0,0,0,646,646
ASV9490,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Oceanibaculaceae,Oceanibaculum,uncultured deep-sea bacterium,55,49,112,98,108,135,86,643
ASV155,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,uncultured,Unavailable,49,56,88,172,166,35,75,641
ASV1660,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,uncultured,Unavailable,Unavailable,35,46,98,114,137,59,151,640
ASV24648,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,Unavailable,Unavailable,Unavailable,29,166,38,54,10,245,98,640
ASV3410,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,Unavailable,37,99,41,71,65,213,110,636
ASV1964,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,Unavailable,24,30,35,67,27,365,87,635
ASV430,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,uncultured,Unavailable,Unavailable,0,0,67,193,215,19,140,634
ASV821,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured delta proteobacterium,56,69,108,57,37,130,177,634
ASV7990,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium,60,11,267,120,101,56,18,633
ASV2663,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Unavailable,Unavailable,23,106,104,58,113,151,75,630
ASV11695,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,uncultured,Unavailable,27,4,0,74,306,0,217,628
ASV12800,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,Unavailable,31,34,85,163,160,60,95,628
ASV11740,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured marine bacterium,0,619,0,0,0,0,2,621
ASV2007,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),PAUC26f,uncultured bacterium,14,26,101,226,35,188,26,616
ASV946,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Marinicella,uncultured bacterium,108,19,39,107,169,62,111,615
ASV3845,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,uncultured bacterium,0,59,130,66,98,205,57,615
ASV5596,Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured microorganism,uncultured microorganism,uncultured microorganism,15,46,174,132,120,21,106,614
ASV2759,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,Unavailable,3,9,79,109,63,270,80,613
ASV20288,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,Unavailable,Unavailable,18,85,0,226,238,27,19,613
ASV3239,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Unavailable,Unavailable,207,51,83,132,23,87,29,612
ASV25937,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,uncultured sediment bacterium,8,59,170,54,202,62,54,609
ASV111,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rubripirellula,uncultured bacterium,59,93,26,51,78,151,149,607
ASV5378,Bacteria,Lentisphaerae,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,27,101,133,43,114,160,28,606
ASV219,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter,uncultured alpha proteobacterium,26,24,101,110,114,188,40,603
ASV3377,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Unavailable,26,92,98,107,130,36,114,603
ASV3586,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7 clade,uncultured gamma proteobacterium,148,176,63,27,89,34,65,602
ASV2680,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,uncultured Aminicenantes bacterium,uncultured Aminicenantes bacterium,uncultured Aminicenantes bacterium,3,42,53,22,54,367,59,600
ASV15263,Bacteria,Proteobacteria,Alphaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,0,67,34,74,36,246,143,600
ASV5095,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Unavailable,Unavailable,Unavailable,0,156,36,335,0,71,0,598
ASV7103,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured Flexibacteraceae bacterium,0,185,6,31,1,0,372,595
ASV2845,Bacteria,Zixibacteria,uncultured Nitrospinaceae bacterium,uncultured Nitrospinaceae bacterium,uncultured Nitrospinaceae bacterium,uncultured Nitrospinaceae bacterium,uncultured Nitrospinaceae bacterium,41,42,70,73,199,25,144,594
ASV1694,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,uncultured bacterium,uncultured bacterium,uncultured bacterium,43,60,133,129,96,71,60,592
ASV5323,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,Unavailable,7,259,0,324,0,0,2,592
ASV17801,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,JdFR-76,unidentified bacterium wb1_H02,0,58,534,0,0,0,0,592
ASV2241,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,23,60,88,45,87,164,124,591
ASV5259,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula,Unavailable,17,23,294,152,16,33,55,590
ASV16615,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus,Unavailable,32,123,0,328,3,0,104,590
ASV12712,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,uncultured bacterium,59,50,64,150,166,69,31,589
ASV1828,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,Unavailable,87,38,103,82,104,130,44,588
ASV277,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,IS-44,uncultured proteobacterium,82,59,132,85,122,59,46,585
ASV2390,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured delta proteobacterium,48,33,129,71,91,79,133,584
ASV835,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Unavailable,63,141,79,70,104,71,55,583
ASV3020,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,Microscilla,Unavailable,20,45,101,67,127,87,136,583
ASV5660,Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,uncultured bacterium,uncultured bacterium,14,66,41,109,98,125,129,582
ASV8050,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Unavailable,Unavailable,166,44,4,26,87,208,47,582
ASV5355,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Unavailable,Unavailable,54,40,106,75,113,96,97,581
ASV721,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix,Unavailable,13,48,88,83,170,77,101,580
ASV3610,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,uncultured bacterium,41,38,56,83,199,90,71,578
ASV5670,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,uncultured Epsilonproteobacteria bacterium,uncultured Epsilonproteobacteria bacterium,21,0,13,416,0,125,0,575
ASV19393,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Unavailable,Unavailable,91,46,52,28,45,166,147,575
ASV5233,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,uncultured bacterium,6,1,7,4,6,0,549,573
ASV2532,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,uncultured,Unavailable,6,35,146,90,97,93,104,571
ASV3092,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured bacterium,36,67,77,111,75,103,100,569
ASV11538,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium,71,61,105,62,155,60,52,566
ASV17957,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),uncultured bacterium,uncultured bacterium,uncultured bacterium,17,98,39,35,85,215,76,565
ASV6628,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,Unavailable,46,113,164,57,17,128,39,564
ASV1690,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured Bacteroidetes bacterium,40,20,102,138,93,42,127,562
ASV928,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospira,uncultured alpha proteobacterium,9,18,51,14,55,412,0,559
ASV2474,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Bythopirellula,uncultured bacterium,37,77,60,97,102,47,139,559
ASV5712,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,uncultured,metagenome,0,85,114,24,103,70,163,559
ASV10040,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,Unavailable,Unavailable,Unavailable,23,37,98,98,97,50,153,556
ASV744,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured,Unavailable,22,97,112,92,73,79,80,555
ASV8917,Bacteria,LCP-89,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,14,76,98,161,89,51,65,554
ASV18243,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured bacterium,uncultured bacterium,uncultured bacterium,18,40,84,44,240,99,28,553
ASV5093,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,uncultured bacterium,0,0,242,0,271,10,29,552
ASV2052,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,uncultured,Unavailable,83,73,122,59,104,59,51,551
ASV1253,Bacteria,Acidobacteria,Subgroup 26,uncultured Acidobacterium sp.,uncultured Acidobacterium sp.,uncultured Acidobacterium sp.,uncultured Acidobacterium sp.,6,45,157,84,74,73,110,549
ASV12065,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,4572-13,uncultured bacterium,uncultured bacterium,55,44,27,97,153,7,166,549
ASV1701,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,uncultured,uncultured bacterium,30,162,24,113,6,176,37,548
ASV4713,Bacteria,Proteobacteria,Gammaproteobacteria,Unavailable,Unavailable,Unavailable,Unavailable,25,68,104,94,104,69,83,547
ASV474,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Portibacter,uncultured Bacteroidetes bacterium,52,44,99,92,140,25,92,544
ASV2977,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unavailable,Unavailable,7,53,134,41,92,119,98,544
